SMILES,alpha
COC[C@H]1OC(=O)/C(=C/N(C)CC(O)CO)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,1
COC[C@H]1OC(=O)/C(=C/N(CCO)CCO)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,1
COC[C@H]1OC(=O)/C(=C/N(C)CCCC(=O)O)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,1
COC[C@H]1OC(=O)/C(=C/N(C)CC(=O)OC(C)(C)C)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,0
COC[C@H]1OC(=O)/C(=C/N(C)C2CCN(C)C2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,1
COC[C@H]1OC(=O)/C(=C/N(C)CCCN2CCN(c3ccc(OC)cc3)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,1
COC[C@H]1OC(=O)/C(=C/N(C)CCCN2CCOCC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,1
COC[C@H]1OC(=O)/C(=C/N(C)CCCN2CCN(C)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,1
COC[C@H]1OC(=O)/C(=C/N(CCCN(C)C)CCCN(C)C)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,1
CCN(/C=C1/C(=O)O[C@H](COC)[C@@]2(C)C1=C(O)C(=O)C1=C2[C@H](OC(C)=O)C[C@]2(C)[C@@H](O)CC[C@@H]12)CCN(CC)CC,1
CCN(CC)CCN(C)/C=C1/C(=O)O[C@H](COC)[C@@]2(C)C1=C(O)C(=O)C1=C2[C@H](OC(C)=O)C[C@]2(C)[C@@H](O)CC[C@@H]12,1
CCN(/C=C1/C(=O)O[C@H](COC)[C@@]2(C)C1=C(O)C(=O)C1=C2[C@H](OC(C)=O)C[C@]2(C)[C@@H](O)CC[C@@H]12)CCCN(C)C,1
CCN(/C=C1/C(=O)O[C@H](COC)[C@@]2(C)C1=C(O)C(=O)C1=C2[C@H](OC(C)=O)C[C@]2(C)[C@@H](O)CC[C@@H]12)CCN(C)C,1
COC[C@H]1OC(=O)/C(=C/N(C)CCN(C)C)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,1
COC[C@H]1OC(=O)/C(=C/N(CCN(C)C)Cc2ccccc2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,1
