SMILES,alpha,beta,delta,gamma
N#Cc1c(N)ncnc1N1[C@H](c2nc3cccc(F)c3c(=O)n2-c2cc(F)cc(F)c2)C[C@@H]2CCCC[C@@H]21,1,1,1,1
CC(C)n1nc(-c2cc(F)c(C=O)c(F)c2)c2c(N)ncnc21,0,0,0,0
CC(=O)Nc1cn2cc(-c3cnc(N)c(C(F)(F)F)c3)ccc2n1,1,1,1,1
C[C@H](Nc1ncnc(N)c1C#Cc1ccccc1)c1nc2cccc(C#N)c2c(=O)n1-c1ccccc1,1,1,1,1
C[C@H](CN)n1nc(-c2ccc(Cl)c(O)c2)c2c(N)ncnc21,0,0,0,1
O=c1cc(N2CCOCC2)nc2n(Cc3ccc(F)cc3)ccn12,0,1,1,0
Cc1nc(N)nc(-c2cccnc2Nc2cccc3[nH]ccc23)n1,1,1,1,1
CC(=O)N(C)C1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1,1,1,1,1
COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1,0,0,0,0
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCCN4CCOCC4)nn3c2)c1,0,1,1,1
CC(=O)Nc1nc(C)c(-c2cc3c(c(NS(C)(=O)=O)c2)C(=O)N([C@@H](C)C2CC2)C3)s1,0,0,1,1
CC(Nc1cc(F)cc(F)c1)c1cc(C(=O)N(C)CCO)cc2c(=O)cc(N3CCOCC3)oc12,0,1,1,1
O=C(Nc1cc(-c2ccccc2)cc2[nH]ncc12)C1CC1,0,0,0,0
S=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,0,0,0,0
Oc1ccc(-c2n[nH]cc2-c2ccc(Cl)c(Cl)c2)c(O)c1O,1,0,0,0
c1ccc(-c2ncnc3ccc(-c4cnc5ccccc5c4)cc23)cc1,1,0,1,0
N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,0,0,0,0
Cn1cc(-c2ccc3c(c2)N(c2nc4c(s2)C(=O)NC(C)(C)C4)CCO3)cn1,1,1,1,1
C[C@H](Nc1cccc(F)c1)c1cc(C(=O)NCCO)cc2ncc(N3CCOCC3)nc12,0,1,0,0
COc1ccc(Nc2ncccc2-c2ncnc3nc[nH]c23)cn1,0,0,0,0
CNC(=O)Nc1ccc(Nc2nc3ccccc3n2-c2nc(C)nc(N)n2)cc1,1,1,1,1
C[C@H](Nc1ncnc(N)c1C#Cc1cnccn1)c1nc2cccc(S(C)(=O)=O)c2c(=O)n1-c1ccccc1,1,1,1,1
CNC(=O)NC1CCCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1,0,0,1,0
CCOc1cnnc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccccc4)c3)cc12,1,1,1,1
CC(C)n1nc(-c2cccnc2)c2c(N)ncnc21,0,0,0,0
COCC(=O)NC1CCCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1,0,0,1,0
CC(O)[C@H]1C2CCC(CC2)[C@@H]1Nc1nc(-c2c[nH]c3ncc(F)cc23)ncc1F,0,0,0,1
CC1(C)CC(=O)c2sc(N3CCOC[C@@H]3c3ccccc3)nc2C1,0,0,0,0
