SMILES,alpha,beta,delta,gamma
CNC(=O)Nc1nc2ccc(-c3cncc(S(=O)(=O)NC(C)(C)C)c3)cn2n1,0,1,1,1
CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)NC)c2)cnc1N,1,0,0,1
COc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1O,1,1,1,1
Cc1c(Cn2c(C)nn3c(=O)cc(N4CCOC(C)C4)nc23)cccc1C(F)(F)F,1,1,1,1
Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2[C@@H]1CCOC1,1,1,1,1
Cn1c(Cc2nc(N3CCOCC3)cc(=O)[nH]2)nc2cc(-c3ccccc3)ccc21,0,0,0,0
CC1CN(C(=O)Cc2nc(N3CCOCC3)cc(=O)[nH]2)c2ccccc21,0,1,1,0
COc1ccc(-c2ccc3ncnc(O[C@H]4CCN(C)C4)c3c2)cc1OC,1,0,1,0
C[C@@H](Nc1cc(F)cc(F)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,1,1,1,0
COCC(=O)N(C)C1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1,1,0,1,1
Cn1cc(-c2ccc3ncc4c(c3c2)n(-c2ccc(C(C)(C)C#N)cc2)c(=O)n4C)cn1,1,0,1,1
C[C@H](Nc1ncnc(N)c1C#Cc1cc(C(=O)O)ccn1)c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,1,1,1,1
O=c1cc(N2CCOCC2)nc(Cc2nc3ccc(F)cc3o2)[nH]1,0,1,0,0
CC1CC(=O)c2sc(N3CCOCC3)nc2C1,0,0,0,0
C[C@H](Nc1ncnc(N)c1C#Cc1ccc2nc(N)sc2c1)c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,1,1,1,1
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)N1CCc2cc(Cl)ccc21,0,1,0,0
C[C@@H](c1nc2cccc(Cl)c2c(=O)n1-c1cccc(CN(C)S(C)(=O)=O)c1)N(C)c1ncnc(N)c1C#Cc1ccc(F)cn1,1,1,1,1
CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(CCCCCC(=O)NO)c2c(=O)n1-c1ccccc1,1,1,1,1
CC(=O)c1cccc(C#Cc2c(N)ncnc2N[C@@H](C)c2nc3cccc(Cl)c3c(=O)n2-c2ccccc2)n1,1,1,1,1
Cn1nc(-c2cnc3[nH]ccc3c2)c2c(N)ncnc21,1,0,1,1
C[C@H](Nc1ncnc(N)c1C#Cc1cccnn1)c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,1,1,1,1
CC1(C)CN(c2cc(=O)n3ccn(Cc4cccc(Cl)c4Cl)c3n2)CCO1,1,1,1,0
COc1ncc(-c2cc(O[C@@H]3CCN(C(=O)C4CC4)C3)cc3c2CNC3=O)cc1NS(C)(=O)=O,1,1,1,0
NC(=O)c1sc(N2CCOCC2)nc1CC(=O)N1CCc2ccccc21,0,1,1,0
O=C([C@@H]1CCCCN1)N1CCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)CC1,0,1,1,0
Cc1cc(-c2cccnc2Oc2cccc3[nH]ccc23)nc(N)n1,0,0,0,0
CNc1ncc(-c2cc(OC3CN(C(=O)C4C[C@H]4C)C3)cc3c2CNC3=O)cc1C(F)(F)F,0,0,1,0
Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2[C@H]1C[C@@H](CN2CCC2)C1,0,0,0,0
CS(=O)(=O)N1CCN(Cc2cc3nc(-c4ccc(N)cc4)nc(N4CCOCC4)c3s2)CC1,1,0,1,0
C[C@H](Nc1ncnc2[nH]cc(F)c12)c1nc2cccc(F)c2c(=O)n1-c1cccc(OCC(F)(F)F)c1,0,0,1,0
O=c1nc([C@H]2C3CCC(CC3)[C@@H]2Nc2nc(-c3c[nH]c4ncc(F)cc34)ncc2F)[nH]o1,0,0,0,0
CCOc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1OC,1,0,1,0
COc1ncc(-c2ccc3nccc(C#CCN4CCN(S(C)(=O)=O)CC4)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,1,1,1,1
COc1cc(F)cc(NC(C)c2cc(C(=O)N(C)C)cc3c(=O)cc(N4CCOCC4)oc23)c1,1,1,1,0
COc1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1ccnc(-c2cc(F)c(CN3CCN(C(C)C)CC3)cc2F)c1,0,0,0,0
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1ccc(F)c(Br)c1,0,1,1,0
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)N1CCc2c(Br)cccc21,1,1,1,0
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1ccc(F)c([N+](=O)[O-])c1,0,1,0,0
O=c1oc2ccccc2c2nn(CN3CCN(S(=O)(=O)c4ccc(Cl)cc4)CC3)cc12,0,0,0,0
CC1CN(c2cc(=O)n3ccn(Cc4cccc(Cl)c4Cl)c3n2)CCO1,1,1,1,1
O=C(c1cc([C@H]2CCCN2c2cccc(F)c2)c2oc(N3CCOCC3)cc(=O)c2c1)N1CCOCC1,1,1,1,1
NC(=O)c1sc(N2CCOCC2)nc1CC(=O)N1CCc2c(F)cccc21,0,1,1,0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0,0,0,0
NOCCOCCOCCOCCNc1nc(N2CCOCC2)nc(-n2c(C(F)F)nc3ccccc32)n1,1,0,1,1
CC1Cc2cc(F)ccc2N1C(=O)Cc1nc(N2CCOCC2)sc1C(N)=O,0,1,1,0
C[C@H](Nc1ncnc(N)c1C#Cc1ccc(F)cn1)c1nc2cccc(C(F)F)c2c(=O)n1-c1cccc(C#N)c1,1,1,1,1
C[C@H](Nc1ccc2c(c1)OCCn1cc(N3C(=O)OC[C@H]3C(F)F)nc1-2)C(N)=O,1,1,1,1
CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(Cl)c3)c2)cnc1N,1,0,1,1
COc1ncc(-c2ccc3ncnc(N[C@H]4CCCN(C(=O)c5cccnc5)C4)c3c2)cc1C#N,1,1,1,1
CC(C)n1nc(-c2ccc(O)c(F)c2)c2c(N)ncnc21,1,0,1,1
CNC(=O)[C@@H]1CCCN1C(=O)Nc1nc(C)c(-c2ccnc(C(C)(C)C)c2)s1,0,0,0,0
C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2c(NCCN(C)C)c1-c1ccccc1,0,0,1,0
Cc1ccc(C#Cc2c(N)ncnc2N[C@@H](C)c2nc3cccc(Cl)c3c(=O)n2-c2ccccc2)nc1,1,1,1,1
Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,1,1,1,1
Cn1c(Cc2nc(N3CCOCC3)cc(=O)[nH]2)nc2ccc(-c3ccccc3)cc21,0,0,0,0
COc1cc(N)cc2c1nc(C(F)F)n2-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,1,1,1,1
CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)NCC(F)(F)F)c2)cnc1N,1,0,0,1
c1cc(-c2ccncc2)c2cc[nH]c2c1,0,0,0,0
CNC(=O)c1nc(-c2cccc(S(=O)(=O)Nc3cccc(Cl)c3)c2)cnc1N,1,0,0,1
Cc1nn2c(NO)cc(C3CCOCC3)nc2c1Cc1cccc(C(F)(F)F)c1C,0,1,1,0
Nc1ncnc2[nH]nc(-c3ccc4c(c3)OCO4)c12,0,0,0,0
FC(F)(F)c1nnc2n1[C@H]1CCN(Cc3cc4nc(-c5cccc6[nH]ccc56)nc(N5CCOCC5)c4s3)C[C@H]1CC2,0,1,1,1
O=C(Nc1cc(-c2cccc3[nH]ccc23)cc2[nH]ncc12)c1ccccn1,0,0,1,0
O=C(c1ccccc1)c1ccc(N2CCOCC2)cc1O,0,0,0,0
COCC(O)Cn1cc(-c2ccc3c(c2)N(c2nc4c(s2)C(=O)NC(C)(C)C4)CCO3)cn1,1,1,1,1
CC(=O)Nc1nc2cc(-c3nn(C(C)C)c4ncnc(N)c34)ccc2o1,0,0,1,1
Cn1c(CC(=O)N2CCc3ccccc32)nc(N2CCOCC2)cc1=O,0,1,1,0
Nc1nc2cc(-c3nn(C4CC(O)C4)c4ncnc(N)c34)ccc2o1,1,1,1,1
Cc1nc(N)nc(-n2c(Nc3cc[nH]n3)nc3cc(F)c(F)cc32)n1,1,1,1,1
CC(C)n1nc(-c2ccc3cn[nH]c3c2)c2c(N)ncnc21,1,1,1,1
C[C@H]1CC[C@@H](c2nc3cccc(Cl)c3c(=O)n2-c2ccccc2)N1c1ncnc(N)c1C#N,1,1,1,1
CC(C)n1ncnc1-c1nc2c(s1)CCOc1cc(-c3ccc(N)nc3)ccc1-2,1,1,1,1
C[C@H](Nc1ncnc(N)c1C#Cc1ccc(F)cn1)c1nc2ccc(F)cc2c(=O)n1-c1ccccc1,1,1,1,1
CC(Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2c(NCCO)c1-c1ccccc1,0,1,1,1
Clc1ccc2c(c1)nc1n2CCOc2ccc(Br)cc2-1,1,1,0,0
CC(C)n1nc(-c2cncnc2)c2c(N)ncnc21,0,0,0,0
Cc1nc2cnc3ccc(-c4cnc5[nH]ccc5c4)cc3c2n1-c1ccc(C(C)(C)C#N)nc1,1,1,1,1
COCC(=O)N1CCC(Nc2cc(-c3ncnc4c3CN(c3cnc(OC)c(C)c3)CC4)ccn2)CC1,0,0,1,0
CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(C(F)(F)F)c3)c2)cnc1N,1,0,0,1
Cc1nc(NC(=O)[C@@H](C)N)sc1-c1cncc(NS(=O)(=O)c2ccccc2)c1,1,1,1,1
Nc1nc2cc(-c3ccc4ncc(C(=O)N5CCOCC5)n4c3)ccc2o1,1,0,0,0
COc1cc(-c2cc3c(N[C@H]4CCN(C(=O)C5CCC5)C4)ncnc3s2)cnc1OC,1,0,1,0
Cc1nc(NC(=O)NCCC(=O)OC(C)(C)C)sc1-c1ccc(S(C)(=O)=O)c(F)c1,0,1,1,1
N#Cc1ccc(-c2csc3c(=O)cc(N4CCOCC4)oc23)cc1,0,0,0,0
Cc1nnc(NS(=O)(=O)c2ccc(NCc3cc(C(=O)O)cc(-c4ccc5c(c4)OCO5)c3)cc2)s1,1,1,1,1
Cc1nc(N)nc(-n2c(NC3CCOCC3)nc3ccccc32)n1,0,0,1,1
CC1(C)CCN1S(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,0,0,0,1
CC(C)n1nc(-c2ccc(F)c(C#N)c2)c2c(N)ncnc21,0,0,0,0
Cn1c(CC(=O)Nc2ccc(F)c(Br)c2)nc(N2CCOCC2)cc1=O,0,1,0,0
C[C@@H](C1CC1)N1Cc2cc(-c3ccn4nc(N)c(C(=O)N[C@@H](CO)C5CC5)c4n3)cc(OC(F)(F)F)c2C1=O,0,0,0,1
COc1ncc(-c2ccc3ncnc(NCCN4CCOCC4)c3c2)cc1NS(C)(=O)=O,1,1,1,1
Cc1nc(CCNC(=O)Nc2nc3ccc(-c4cncc(S(=O)(=O)NC(C)(C)C)c4)cn3n2)cs1,1,1,1,1
O=C(O)c1sc(N2CCOCC2)nc1CC(=O)N1CCc2cc(Br)ccc21,0,0,1,0
O=c1cc(N2CCOCC2)nc2n(Cc3ccc(Cl)c(Cl)c3)ccn12,0,1,1,0
O=C(O)c1ccc(CNc2nc3ccc(-c4nc(N5CCOCC5)nc(N5CCOCC5)n4)cc3o2)cc1,1,1,1,0
CCOC(=O)CN(c1ccnc(-c2ccc(CN3CCN(C(C)C)CC3)cc2F)c1)S(=O)(=O)c1cc(N2CCOCC2)cnc1OC,0,0,0,0
CC(C)n1nc(C#Cc2cccc(O)c2)c2c(N)ncnc21,1,1,1,1
O=C(O)[C@H]1CCCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)C1,1,1,1,1
Cc1nn2c(C#N)cc(N3CCOCC3)nc2c1Cc1cccc(C(F)(F)F)c1C,1,0,1,0
O=C1NC(=O)/C(=C/c2ccc(-c3ccccc3O)o2)S1,1,0,0,1
O=c1ncn(Cc2ccsc2Cl)c2nc(N3CCOCC3)sc12,0,1,0,0
COc1ccc(Nc2ncc(CN3CCCCC3)cc2-c2nc(C)nc(N)n2)cn1,1,1,1,1
Cc1cccc(-c2n[nH]c3ncnc(N)c23)c1,0,0,0,0
CNC(=O)c1nc(-c2cccc(-c3nnn[nH]3)c2)cnc1N,1,0,0,0
Nc1ncnc2[nH]nc(C3CCc4ccccc4C3)c12,0,0,0,0
CCn1c(Cc2nc(N3CCOCC3)cc(=O)[nH]2)nc2ccccc21,1,1,1,0
Nc1nc2ccc(-c3cnn(CC4CC4)c3)cc2s1,0,0,0,0
CNC(=O)CNC(=O)Nc1nc2ccc(-c3cncc(S(=O)(=O)NC(C)(C)C)c3)cn2n1,0,0,1,1
CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)CC1,1,1,1,1
NC(=O)c1cccc2cc(C(=O)N3CCN(c4nc(-c5cnc(NC(=O)CN6CCOCC6)cc5C(F)(F)F)nc(N5CCOCC5)n4)CC3)oc12,1,1,1,0
Cc1nc(NC(=O)N2CCCC2)sc1-c1ccnc(C(C)(C)C)c1,0,0,1,1
Cc1nc2ccccc2c(N2CC(C)(C)c3ccc(N4CCOCC4)cc32)c1C,0,1,1,0
O=C(Nc1cc(-c2ccc(O)cc2)cc2[nH]ncc12)C1CC1,0,0,0,0
CN(C)C1CCN(C(=O)c2cccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5CCOCC5)n4)cc3)c2)CC1,0,0,0,0
O=c1oc2ccccc2c2nn(S(=O)(=O)c3ccccc3)cc12,0,0,0,0
CCC(=O)N1CC[C@H](Nc2ncnc3sc(-c4cnc(OC)c(OC)c4)cc23)C1,1,0,1,0
Nc1ncnc2c1c(-c1cc3cccc(O)c3[nH]1)nn2C1CCOCC1,1,1,1,1
O=c1nc(N2CCOCC2)cc2n(Cc3cccc(Cl)c3Cl)ccn12,0,1,1,0
COc1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1ccnc(-c2ccc(CN3CCN(C4COC4)CC3)cc2)c1,0,0,0,0
Cc1ccc(-c2nn(C)c3ncnc(N)c23)cc1O,1,0,1,1
Cc1c(Cn2c(C)c(C)n3c(=O)cc(N4CCOCC4)nc23)cccc1C(F)(F)F,0,1,1,0
Cc1nc(-c2cn3c(n2)-c2ccc(-c4cnn(C(C)(C)C(N)=O)c4)cc2OCC3)n(C(C)C)n1,1,1,1,1
Cc1nn2c(C(=O)O)cc(N3CCOCC3)nc2c1Cc1cccc(C(F)(F)F)c1C,0,0,1,0
CC(=O)Nc1nc2ccc(-c3cncc(S(C)(=O)=O)c3)c(C)n2n1,0,0,0,1
CC(Nc1cc(F)cc(F)c1)c1cc(C(=O)NCCN(C)C)cc2ncc(N3CCOCC3)nc12,0,1,1,0
Nc1ncnc2c1c(-c1ccc3[nH]ccc3c1)nn2C1CCCC1,1,0,1,1
C[C@H](CN)n1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,0,0,0,1
CCc1nc2ccccc2n1-c1nc(N2CCOCC2)c2sc(CN3CCN(C4CCCC4)C(=O)C3)cc2n1,1,1,1,1
Nc1ncnc(N[C@H](CO)c2nc3cccc(Cl)c3c(=O)n2-c2ccccc2)c1C#Cc1ccc(F)cn1,1,1,1,1
C=Cc1ccc(-c2ccc3ncnc(Nc4ccc(CC#N)cc4)c3c2)cc1,0,0,0,1
CCc1cccc(-n2c([C@H](C)Nc3ncnc(N)c3C#Cc3ccc(F)cn3)nc3cccc(Cl)c3c2=O)c1,1,1,1,1
O=c1cc(N2CCOCC2)oc2c(-c3ccc(Cl)cc3)csc12,1,1,0,1
CC(C)n1nc(-c2ccc(Cl)c(O)c2)c2c(N)ncnc21,1,1,1,1
c1cc(-c2ccc3ccncc3c2)c2cc[nH]c2c1,0,0,0,0
COc1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1ccnc(-c2ccc(CN3CCNCC3)cc2F)c1,0,0,0,0
Cc1c(CN2CCN(C(=O)C(C)(C)O)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,1,1,1,1
Cc1ncc(-c2sc(NC(=O)CN)nc2C)cc1NS(=O)(=O)c1ccccc1,0,0,1,0
NS(=O)(=O)[C@H]1C2CCC(CC2)[C@@H]1Nc1nc(-c2c[nH]c3ncc(F)cc23)ncc1F,0,0,0,0
COc1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1ccnc(-c2ccc(CN3CCC(C(C)(C)O)CC3)cc2F)c1,0,0,0,0
CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(C)c3)c2)cnc1N,1,0,1,1
COc1ccc(Nc2ncc(-c3ccc(C)nc3)cc2-c2nc(C)nc(N)n2)cn1,1,1,1,1
O=C1NCc2c1cc(O[C@@H]1CCN(C(=O)C3CC(F)(F)C3)C1)cc2-c1cc(O)cc(F)c1,1,1,1,0
CC(C)OC(=O)c1ccc(C#Cc2c(N)ncnc2N[C@@H](C)c2nc3cccc(Cl)c3c(=O)n2-c2ccccc2)nc1,1,1,1,1
CC(=O)Nc1nc(C)c(-c2ccc(S(C)(=O)=O)c(C(F)(F)F)c2)s1,1,1,1,1
Cc1nc(N)nc(-c2cccnc2Nc2cnc(Cl)c(NS(C)(=O)=O)c2)n1,1,1,1,1
CCC(=O)N1CC[C@H](Oc2ncnc3c2CN(c2ccc(OC)nc2)CC3)C1,0,0,0,0
Cc1c(Cn2ccn3c(=O)cc(N4CCOCC4)nc23)cccc1C(F)(F)F,1,1,1,0
C[C@H]1CN(c2cc(=O)c3cc(C(=O)N(C)C)cc([C@@H](C)Nc4cc(F)cc(F)c4)c3o2)CCO1,1,1,1,1
CN(C)c1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1ccnc(-c2ccc(CN3CCN(C(C)(C)C)CC3)cc2F)c1,0,0,0,0
O=C(Nc1cc(-c2cccc3[nH]ccc23)cc2[nH]ncc12)C1CC1,0,0,1,0
O=c1oc2ccccc2c2nn(S(=O)(=O)c3ccc(Cl)cc3)cc12,0,0,0,0
COc1ncc(-c2cc3c(N4CCOCC4)ncnc3s2)cc1NS(=O)(=O)c1ccc(F)cc1F,1,1,1,1
Cc1nc(-c2cccnc2Nc2cccc3n[nH]cc23)c2[nH]cnc2n1,1,1,1,1
CN(C)[C@@H]1C[C@@H](C(N)=O)N(C(=O)Nc2nc3c(s2)-c2nc(C(C)(C)C)ncc2CC3)C1,1,0,1,0
C[C@H](Nc1ncnc(N)c1C#Cc1ccc(F)cn1)c1nc2ccc(F)cc2c(=O)n1-c1cccc(Cl)c1,1,1,1,1
COc1ncc(-c2ccc3nccc(-c4ccc(CN(C)CCO)cc4)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,1,1,1,1
Cc1ccccc1Cn1cnc(=O)c2sc(N3CCOCC3)nc21,0,1,1,0
C[C@H](Nc1nc(N)nc(N)c1C#Cc1ccc(F)cn1)c1nc2cccc(Cl)c2c(=O)n1-c1cc(F)cc(F)c1,1,1,1,1
CCS(=O)(=O)Nc1cc(-c2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)cnc1OC,1,0,0,0
CC(C)CS(=O)(=O)NCc1cccc(-n2c([C@H](C)Nc3ncnc(N)c3C#Cc3ccc(F)cn3)nc3cccc(Cl)c3c2=O)c1,1,1,1,1
Cc1cccc(Cn2ccn3c(=O)cc(N4CCOCC4)nc23)c1,0,1,1,0
Cc1c(Cn2ccn3c(=O)cc(C4=CCOCC4)nc23)cccc1C(F)(F)F,0,1,1,0
CC1Cc2c(Br)cccc2N1C(=O)Cc1nc(N2CCOCC2)sc1C(N)=O,0,1,1,0
Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,0,0,0,0
Cc1cc(F)cc(NC(C)c2cc(C(=O)N(C)C)cc3c(=O)cc(N4CCOCC4)oc23)c1,0,1,1,0
Cc1cccc2nc([C@H](C)Nc3ncnc(N)c3C#Cc3ccc(F)cn3)n(-c3cccc(CN(C)S(C)(=O)=O)c3)c(=O)c12,1,1,1,1
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2[C@H]1CCNC1,0,1,1,1
Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C2(C#N)CC2)c1,1,0,0,0
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2C1CCC1,1,0,1,0
CN(C)C(=O)CNC(=O)Nc1nc2ccc(-c3cncc(S(=O)(=O)NC(C)(C)C)c3)cn2n1,0,0,1,1
COc1ccc(Nc2ncccc2-c2nc(C)nc3nc[nH]c23)cn1,1,1,1,1
COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,0,0,0,0
COCOc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1Br,0,0,1,0
N#CCc1ccc(Nc2ncnc3ccc(-c4cncc5ccccc45)cc23)cc1,1,0,1,0
CN1CCN(C(=O)c2cccc(-c3ncnc4ccc(-c5cnc6ccccc6c5)cc34)c2)CC1,1,0,1,0
COc1ncc(-c2ccc3ncnc(Nc4cnn(CCO)c4)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,1,1,1,1
Cc1cc([C@@H](C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1,1,1,1,1
C[C@H](Nc1ncnc(N)c1C#Cc1cccc(C(F)(F)F)n1)c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,1,1,1,1
C[C@@H](CN)n1nc(-c2ccc(Cl)c(O)c2)c2c(N)ncnc21,1,0,1,1
CCC(C)n1nc(-c2ccc(C)c(O)c2)c2c(N)ncnc21,1,0,1,1
COc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1OC,1,1,1,1
COc1ccc(-c2nn(C3CNC3)c3ncnc(N)c23)cc1O,0,0,1,1
CC(=O)NCC(=O)N1CCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)CC1,1,1,1,1
CC1Cc2c(Br)cccc2N1C(=O)Cc1nc(N2CCOCC2)sc1C(=O)O,0,1,1,0
CC[C@H](Nc1nc(N)nc(N)c1C#N)c1nn(-c2cccnc2)c2cc(Cl)ccc12,1,1,1,1
CC(Nc1ccccc1)c1cc(C(=O)NCCN(C)C)cn2c(=O)cc(N3CCOCC3)nc12,0,1,1,0
CS(=O)(=O)NC1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)CC1,1,1,1,1
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)N1CCc2ccccc21,1,1,1,0
CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccc(C(=O)N5CCN(C)CC5)cc4)cc3)nc21,1,1,1,1
Cc1c(-c2ccccn2)nc2cc(F)ccc2c1N1CC2(CS(=O)(=O)C2)c2ccc(N3CCOCC3)cc21,0,1,1,0
COCCOc1ccc(-c2ccc3nc(N)sc3c2)cn1,0,0,0,0
NC(=O)[C@@H]1CCCN1C(=O)Nc1nc2c(s1)-c1nc(CC3CC3)sc1CC2,1,0,0,0
O=c1cc(N2CCOCC2)oc2c(-c3ccc4c(c3)OCCO4)csc12,1,1,1,0
Nc1ncnc2[nH]nc(-c3ccc(NC(=O)c4ccc(-c5ccccc5)cc4)cc3)c12,0,0,0,0
O=C(O)CCNc1nc(N2CCOCC2)nc(-n2c(C(F)F)nc3ccccc32)n1,1,1,1,1
CC(C)n1nc(-c2ccc3c(ccn3C(=O)OC(C)(C)C)c2)c2c(N)ncnc21,0,0,0,1
CC(Nc1cccc(Cl)c1F)c1cc(C(=O)NCCN(C)C)cn2c(=O)cc(N3CCOCC3)nc12,1,1,1,1
COc1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1ccnc(-c2ccc(CN3C[C@@H](C)O[C@@H](C)C3)cc2F)c1,0,0,0,0
O=C1CC(c2ccccc2)Cc2nc(N3CCOCC3)sc21,0,0,0,0
O=S(=O)(Nc1cc(-c2ccc3nncc(-c4ccc(N5CCOCC5)cc4)c3c2)cnc1Cl)c1ccccc1,1,1,1,1
O=c1cc(N2CCOCC2)nc2n(Cc3ccc(F)c(Cl)c3)ccn12,0,1,1,0
CC(C)n1nc(-c2ccc(C#N)c(F)c2)c2c(N)ncnc21,0,0,0,0
COCCOCCOCC#Cc1cccc2nc(Cn3nc(-c4cc(O)cc(F)c4)c4c(N)ncnc43)n(Cc3ccccc3C(F)(F)F)c(=O)c12,0,0,1,1
CC(=O)N1CCN(C(=O)c2cccc(-c3ncnc4ccc(-c5cnc6ccccc6c5)cc34)c2)CC1,0,0,1,0
CC(C)n1nc(-c2cnc3nccnc3c2)c2c(N)ncnc21,0,0,1,0
CNS(=O)(=O)c1cc(-c2sc(NC(C)=O)nc2C)cc2c1C(=O)N([C@@H](C)C1CC1)C2,0,0,1,1
CC(C)n1ncnc1-c1nc2c(s1)CCOc1cc(C3CCNCC3)ccc1-2,1,1,1,1
CC(C)C(=O)CN1c2nc(N3CCOC[C@H]3C)cc(=O)n2CC[C@H]1C(F)(F)F,0,0,0,0
CNCCNc1nc(N2CCOCC2)nc(-n2c(C(F)F)nc3ccccc32)n1,1,0,1,1
Cc1ccc2c(c1)-c1nc3cc(Br)ccc3n1CCO2,1,0,0,0
CNCCNC(=O)c1cc(C(C)Nc2cccc(F)c2)c2nc(N3CCOCC3)cnc2c1,1,1,1,0
O=S(=O)(Nc1cc(-c2ccc3ncc(N4CCOCC4)nc3c2)cnc1Cl)c1ccc(F)cc1,1,1,1,1
CC(C)n1ncnc1-c1nc2c(s1)CCOc1cc(CO)ccc1-2,1,1,1,1
O=c1oc2ccccc2c2nn(S(=O)(=O)c3ccc([N+](=O)[O-])cc3)cc12,0,0,0,0
Cc1nnc2n1[C@H]1CCN(Cc3cc4nc(-c5cccc6[nH]ccc56)nc(N5CCOCC5)c4s3)C[C@H]1CC2,0,1,1,0
C[C@H](Nc1cc(F)cc(F)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCO[C@@H](C)C3)oc12,0,1,1,0
CCc1cc(-c2c[nH]c3ncc(-c4ccn[nH]4)cc23)nc(N)n1,0,0,0,0
COc1ccc(Nc2ncc(C)cc2-c2nc(C)nc(N)n2)cn1,1,1,1,1
Cc1nnc(NS(=O)(=O)c2ccc(NCc3cc(C(=O)O)cc(-c4ccc5c(c4)OCCO5)c3)cc2)s1,1,1,1,1
O=c1cc(-c2ccc3nc(NC[C@H]4CC[C@H](C(=O)O)CC4)sc3c2)ccn1CC1CC1,0,0,0,0
CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@H]4O,0,0,0,0
Nc1nc2cc(-c3cncc(S(=O)(=O)NCc4ccccc4)c3)ccn2n1,0,0,0,1
CNC(=O)[C@H]1C2CCC(CC2)[C@@H]1Nc1nc(-c2c[nH]c3ncc(F)cc23)ncc1F,0,0,0,0
Cc1nc2c(N)cc(N3CCOCC3)nn2c1Cc1cccc(C(F)(F)F)c1C,0,1,1,0
